id,texte,toxique,obscene,menace,insulte
ag,"A un 1er date j'ai proposé de lui apprendre à faire les lasagnes.
Et c'était super sympa car il a bossé tout coupé tourné etc. c'était une vraie activité à 2 pour apprendre à se connaître et rigoler.
Pas juste bobonne en cuisine et lui qui s'enfile des bières comme ce lourd.",0,0,0,0
ah,"À chaque chose qu'elle fait, elle s'en prend plein la gueule  la pauvre...",0,0,0,0
ai,Ben les connards qui respectent pas les limites de vitesse et qui te collent au cul c'est bien pire,1,0,0,1
aj,J’ai envie de les baffer,1,0,1,0
ak,Ils cassent vraiment les couilles les courreurs de vélos,1,0,0,0
al,ils sont nés pour faire chier le monde déjà qu’ils monopolisent toute la voie,1,0,0,0
am,Incroyable ce clochard gueulard qui justifie les propos de l'autre panda... Et bien entendu c'est pas chez Hanouna et Benaim qui vont être objectifs sur la question 😂,1,0,0,1
an,"Y’a pas mal de débile qui critique sans même comprendre que c’est des artistes innovants qui expérimente comme ça qui font évoluer la musique 
mais bon c’est toujours plus simple de cracher quand c’est pas dans les top spotify puis de sucer après quand ça atteint le grand public.",1,0,0,1
ao,mdr suce plus fort toi,1,1,0,1
ap,Tu sais dire que c est de la merde bah on peux aussi car franchement j appele pas ca de la musique. J ai entendu des chatte en chaleur miauler mieux que ce truc.,1,1,0,1
aq,3-3 mais mais balde je vais te tuer je vais t’arracher les yeux et les manger,1,0,1,0
ar,je vais trouver ton adresse et pisser sur ton lit si tu supprimes pas,1,0,1,0
as,suce moi sale fils de timpe j’espère tu meurs irl,1,1,1,1
at,Pine t'es ancêtres. Je souhaite j'espère tu meurs vendredi prochain,1,0,1,0
au,Sal fdp avec ta geule de merde j'éspère tu meurs fdp,1,1,1,1
av,Tu y arriveras pas inox,1,0,0,0
aw,Demain je vais sûrement me faire des ennemis mais ça sera pour les bonnes raisons…,0,0,0,0
