id,texte,toxique,obscene,menace,insulte
ah,"À chaque chose qu'elle fait, elle s'en prend plein la gueule  la pauvre...",0,0,0,0
ai,Ben les connards qui respectent pas les limites de vitesse et qui te collent au cul c'est bien pire,1,0,0,1
aj,J’ai envie de les baffer,1,0,1,0
ak,Ils cassent vraiment les couilles les courreurs de vélos,1,0,0,0
al,ils sont nés pour faire chier le monde déjà qu’ils monopolisent toute la voie,1,0,0,0
am,Incroyable ce clochard gueulard qui justifie les propos de l'autre panda... Et bien entendu c'est pas chez Hanouna et Benaim qui vont être objectifs sur la question 😂,1,0,0,1
an,"Y’a pas mal de débile qui critique sans même comprendre que c’est des artistes innovants qui expérimente comme ça qui font évoluer la musique 
mais bon c’est toujours plus simple de cracher quand c’est pas dans les top spotify puis de sucer après quand ça atteint le grand public.",1,0,0,1
ao,mdr suce plus fort toi,1,1,0,1
ap,Tu sais dire que c est de la merde bah on peux aussi car franchement j appele pas ca de la musique. J ai entendu des chatte en chaleur miauler mieux que ce truc.,1,1,0,1
aq,3-3 mais mais balde je vais te tuer je vais t’arracher les yeux et les manger,1,0,1,0
ar,je vais trouver ton adresse et pisser sur ton lit si tu supprimes pas,1,0,1,0
as,suce moi sale fils de timpe j’espère tu meurs irl,1,1,1,1
at,Pine t'es ancêtres. Je souhaite j'espère tu meurs vendredi prochain,1,0,1,0
au,Sal fdp avec ta geule de merde j'éspère tu meurs fdp,1,1,1,1
av,Tu y arriveras pas inox,1,0,0,0
aw,Demain je vais sûrement me faire des ennemis mais ça sera pour les bonnes raisons…,0,0,0,0
ax,Quand j’y repense vraiment je trouve que j’ai été beaucoup trop gentil avec certaines personnes,0,0,0,0
ay,"En tant que Français c'est juste hyper drôle de te voir découvrir des choses juste naturelles pour nous, comme le pain(qui est une brioche)
 en général il ne se trouve pas dans le même rayon que la brioche justement pour éviter les erreurs de ce genre,
 et te voir laisser la peau rouge du la saucisse dans ton sandwich 
Juste super drôle ! 
Par contre les nutri-score sont étudiés dans une même catégorie de produits
 ( exemple : tous les beurres seront en E, alors que toutes les salades seront en A) pourtant il y a des beurres meilleurs que d'autre etc...",0,0,0,0
az,"Avec ma copine on a décidé avant de voir la video : on veux le grand tube avec le scotch vert et le tout noir en bas vers la porte.

Si c’est nul on prend quand même ",0,0,0,0
ba,"N’arrêtez pas ce format, il est génial ! Franchement ça ne m’aurait pas dérangé si la vidéo avait duré le double de son temps, j’ai eu quelques fous rires, ça fait du bien ! 
C’est une vidéo que je vais regarder plusieurs fois et je sais qu’elle me fera autant rire, du premier au cinquième visionnage.",0,0,0,0
bb,"Je ne me suis même pas rendu compte que ça faisait 30 min de vidéo... Dommage qu'on a pas la partie de Thomas qui cherche le reste de l'équipe.
 La vidéo aurait pu continuer ça ne m'aurait pas dérangé. Je suis heureuse que Maxime ait trouvé cette équipe et franchement, je vous adore tout les 4 ou individuellement. 

Passez une bonne journée/soirée et bonne continuation à vous ! Et félicitations à vous pour tout !",0,0,0,0
bc,"J'ai adoré la vidéo, je commente très rarement mais j'aimerai juste ajouter une remarque qui me tient au coeur :
 j'aurais bien aimé avoir un petit mot de chaque personnes employées pour faire ces cascades/ remplir le bain d'insectes/ conducteurs etc pour savoir pourquoi ils ont choisit 
ce parcours ou pourquoi ils font ça dans la vie car je trouve ça très intéressant et on parle peu d'eux alors qu'au final c'est grâce à eux que vous avez pu faire tout ces trucs ouf! 
Merci à ces professionnels en tout cas, je trouve que ce qu'ils font c'est incroyable, et bien sûr GG à vous, surtout Maghla, j'aurais jamais su, t'es une queen! Bisouuus",0,0,0,0
bd,Pas vraiment ouf ce live je perds mon temps ,1,0,0,0
be,Non vraiment arrête de sourire t es trop bizarre et t a un style d extraterrestre ou quoi ta pas peur de te montrer franchement,1,0,0,0
bf,Super sac mais vilaine gueule,1,0,0,1
bg,J'aime pas sa tête elle me fait peur on dirait annabelle,1,0,0,1
bh,Sale fdp,1,1,0,1
bi,La vidéo est courte parce que il doit être tellement casse-couille,1,0,0,1
bj,"Malheureusement 2 minutes et j'ai déjà ma dose, je ne le connais pas et j'ai pas envie d'en savoir plus, surtout venant de tiktok",1,0,0,0
bk,Qu'es qu'il est chiant à écouter,1,0,0,0
bl,ET SAYER DIT LUI QUI PARLE NORMALEMENT? J'AI ENVIE DE LE TARTER AUAND IL PARLE COMME SA,1,0,1,0
bm,"Le mec le moins drôle du monde , il abuse de son délire qui dure depuis 3 ans un moment évolue c'est gênant",1,0,0,0
bn,le seul talent qu'il a c'est sa puissance de cringe et ça marche pour certains apparemment,1,0,0,0
bo,"Félicitations pour cette réalisation incroyable, tu es vraiment talentueux ! ",0,0,0,0
bp,"Wow, cette photo est absolument magnifique ! ",0,0,0,0
bq,"Merci d'avoir partager cette recette, je vais la tester ce week-end ! ",0,0,0,0
br,"Si tu continues comme ça, je te promets que tu vas le regretter !",1,0,1,0
bs,"Tu es tellement stupide, je n'arrive pas à croire que quelqu'un puisse être aussi idiot ! ",1,0,0,1
bt,TU ME SOULES JE SUIS PAS ABONER ETE JE TE VOIS SUR YOUTUBE ARRETE TU ME FAIS CHIER,1,0,0,1
bu,"Tes courts métrages sont toujours très inspiré, et l’on ressent tout de suite l’émotion qui en découle, tu es vraiment talentueux.",0,0,0,0
bv,"arrête de sortir des vidéos, tu gagnes serte plein d'argent, mais franchement c'est tout le temps la même chose, essaye de trouver des choses plus travaillées",1,0,0,0
bw,"CAME FAIT DE LA PEINE QUAND JE VOIS CE QUE TU FAIS, LA PASSION NEST CLAIREMENT PLUS LA.
 TETAIS MIEUX A LEPOQUE DE COD REMET TOI EN QUESTION SINON DANS 2 ANS TES FINI FDPPPPP",1,1,0,1
bx,"Squeezie t'est un fils de pute tu nique ta saloppe de soeur tout les soirs tu encule ton père PD va,
T'as unê putain de tête de con con salot tu obèse ta mère sale petite p****",1,1,0,1
by,Parler dans un mood sérieux entre vous trois ça va être tellement appréciable. C'est vraiment la face cachée de Youtube en vrai.,0,0,0,0
bz,"j'ai vraiment vu 3 ptits sucres parler de trucs touchants pendant quasi une heure et j'ai adoré 
J'aime que cette image que vous dégagez tous, cette vibe, cette bienveillance et tout ce package; représente ma/ notre generation
Juste merci d'être la et merci d'être vous",0,0,0,0
ca,"Elle est archi problématique, elle me sort par les yeux",1,0,0,0
cb,Pourquoi vous la sucez tous elle est détestable,1,1,0,1
cc,Tes cheveux on dirait un paillason ,1,0,0,0
cd,"Une super vidéo comme d'habitude. Tout le monde devrait apprendre à travailler dur, à être discipliné et patient pour réaliser de grandes choses dans la vie. 
 Que Dieu vous bénisse tous.",0,0,0,0
ce,"Un plaisir de réécouter cette chanson quand elle retombe dans la lecture aléatoire ! ^^ 
Elle ne prend tellement pas une ride ! La suite par pitié ! Mettez nous un volume 2 !",0,0,0,0
cf,Elle rentre  plutôt dans les McDo,1,0,0,1
cg,"Tout à fait d'accord avec vous, même si elle est très moche",1,0,0,1
ch,"Apparement c’était pas par rapport a son physique mais par rapport à son style vestimentaire, 
propos qui restes très grave car la tenue ne justifie en rien les violences sexuels que peut subir une personne. Bref des propos bien misogyne pour changer",0,0,0,0
ci,C'est comme si le mec avait peur qu'on oublie qu'il est une grosse merde.,1,0,0,1
cj,C’est quoi ces explications là ce fdp veut juste garder la technique pour lui,1,1,0,1
ck,Va te faire soigner,1,0,0,0
cl,C'est une guerre inutile les frères ce genre de spécimen ne mérite pas notre temps et investissement,1,0,0,1
cm,C'est pas notre faute si vous êtes pas drôle et que des qu'on vous mets dans une vidéo c'est naze hein,1,0,0,1
cn,Un vrai rayon de soleil ,0,0,0,0
co,"tu es trop gentille et adorable, merci beaucoup continue ce que tu fais,",0,0,0,0
cp,le gnome de merde qui maltraite les animaux dommage ils le mettent pas contre un coq dans l’octogone pour nous distraire,1,0,0,1
cq,Voilà un projet qui demande du recul et un temps de réflexion pour être décortiqué en profondeur.,0,0,0,0
cr,"Respect pour la run de cette année, peu de gens vous attendez aux Worlds et vous avez montré de belles choses",0,0,0,0
cs,"Le jeu a des graphismes de folie, des missions incroyable mais ça se plaint parce que Spiderman 
(censé voler partout et s’accrocher aux bâtiments) ne peut pas prendre la ligne 6 mdrrrr",0,0,0,0
ct,Vas y ta grand mère vous allez tous faire le même tweet ?,1,1,0,1
cu,"missions incroyable, mouais on peut se calmer, c'est vrai qu'il ya des boss secret cacher avec des combat de fou furieux 
mais je trouve qu'il ya trop peu de quêtes annexes par rapport au premier",0,0,0,0
