id,texte,toxique,obscene,menace,insulte
ah,"À chaque chose qu'elle fait, elle s'en prend plein la gueule  la pauvre...",0,0,0,0
ai,Ben les connards qui respectent pas les limites de vitesse et qui te collent au cul c'est bien pire,1,0,0,1
aj,J’ai envie de les baffer,1,0,1,0
ak,Ils cassent vraiment les couilles les courreurs de vélos,1,0,0,0
al,ils sont nés pour faire chier le monde déjà qu’ils monopolisent toute la voie,1,0,0,0
am,Incroyable ce clochard gueulard qui justifie les propos de l'autre panda... Et bien entendu c'est pas chez Hanouna et Benaim qui vont être objectifs sur la question 😂,1,0,0,1
an,"Y’a pas mal de débile qui critique sans même comprendre que c’est des artistes innovants qui expérimente comme ça qui font évoluer la musique 
mais bon c’est toujours plus simple de cracher quand c’est pas dans les top spotify puis de sucer après quand ça atteint le grand public.",1,0,0,1
ao,mdr suce plus fort toi,1,1,0,1
ap,Tu sais dire que c est de la merde bah on peux aussi car franchement j appele pas ca de la musique. J ai entendu des chatte en chaleur miauler mieux que ce truc.,1,1,0,1
aq,3-3 mais mais balde je vais te tuer je vais t’arracher les yeux et les manger,1,0,1,0
ar,je vais trouver ton adresse et pisser sur ton lit si tu supprimes pas,1,0,1,0
as,suce moi sale fils de timpe j’espère tu meurs irl,1,1,1,1
at,Pine t'es ancêtres. Je souhaite j'espère tu meurs vendredi prochain,1,0,1,0
au,Sal fdp avec ta geule de merde j'éspère tu meurs fdp,1,1,1,1
av,Tu y arriveras pas inox,1,0,0,0
aw,Demain je vais sûrement me faire des ennemis mais ça sera pour les bonnes raisons…,0,0,0,0
ax,Quand j’y repense vraiment je trouve que j’ai été beaucoup trop gentil avec certaines personnes,0,0,0,0
ay,"En tant que Français c'est juste hyper drôle de te voir découvrir des choses juste naturelles pour nous, comme le pain(qui est une brioche)
 en général il ne se trouve pas dans le même rayon que la brioche justement pour éviter les erreurs de ce genre,
 et te voir laisser la peau rouge du la saucisse dans ton sandwich 
Juste super drôle ! 
Par contre les nutri-score sont étudiés dans une même catégorie de produits
 ( exemple : tous les beurres seront en E, alors que toutes les salades seront en A) pourtant il y a des beurres meilleurs que d'autre etc...",0,0,0,0
az,"Avec ma copine on a décidé avant de voir la video : on veux le grand tube avec le scotch vert et le tout noir en bas vers la porte.

Si c’est nul on prend quand même ",0,0,0,0
ba,"N’arrêtez pas ce format, il est génial ! Franchement ça ne m’aurait pas dérangé si la vidéo avait duré le double de son temps, j’ai eu quelques fous rires, ça fait du bien ! 
C’est une vidéo que je vais regarder plusieurs fois et je sais qu’elle me fera autant rire, du premier au cinquième visionnage.",0,0,0,0
bb,"Je ne me suis même pas rendu compte que ça faisait 30 min de vidéo... Dommage qu'on a pas la partie de Thomas qui cherche le reste de l'équipe.
 La vidéo aurait pu continuer ça ne m'aurait pas dérangé. Je suis heureuse que Maxime ait trouvé cette équipe et franchement, je vous adore tout les 4 ou individuellement. 

Passez une bonne journée/soirée et bonne continuation à vous ! Et félicitations à vous pour tout !",0,0,0,0
bc,"J'ai adoré la vidéo, je commente très rarement mais j'aimerai juste ajouter une remarque qui me tient au coeur :
 j'aurais bien aimé avoir un petit mot de chaque personnes employées pour faire ces cascades/ remplir le bain d'insectes/ conducteurs etc pour savoir pourquoi ils ont choisit 
ce parcours ou pourquoi ils font ça dans la vie car je trouve ça très intéressant et on parle peu d'eux alors qu'au final c'est grâce à eux que vous avez pu faire tout ces trucs ouf! 
Merci à ces professionnels en tout cas, je trouve que ce qu'ils font c'est incroyable, et bien sûr GG à vous, surtout Maghla, j'aurais jamais su, t'es une queen! Bisouuus",0,0,0,0
bd,Pas vraiment ouf ce live je perds mon temps ,1,0,0,0
be,Non vraiment arrête de sourire t es trop bizarre et t a un style d extraterrestre ou quoi ta pas peur de te montrer franchement,1,0,0,0
bf,Super sac mais vilaine gueule,1,0,0,1
bg,J'aime pas sa tête elle me fait peur on dirait annabelle,1,0,0,1
bh,Sale fdp,1,1,0,1
bi,La vidéo est courte parce que il doit être tellement casse-couille,1,0,0,1
bj,"Malheureusement 2 minutes et j'ai déjà ma dose, je ne le connais pas et j'ai pas envie d'en savoir plus, surtout venant de tiktok",1,0,0,0
bk,Qu'es qu'il est chiant à écouter,1,0,0,0
bl,ET SAYER DIT LUI QUI PARLE NORMALEMENT? J'AI ENVIE DE LE TARTER AUAND IL PARLE COMME SA,1,0,1,0
bm,"Le mec le moins drôle du monde , il abuse de son délire qui dure depuis 3 ans un moment évolue c'est gênant",1,0,0,0
bn,le seul talent qu'il a c'est sa puissance de cringe et ça marche pour certains apparemment,1,0,0,0
bo,"Félicitations pour cette réalisation incroyable, tu es vraiment talentueux ! ",0,0,0,0
bp,"Wow, cette photo est absolument magnifique ! ",0,0,0,0
bq,"Merci d'avoir partager cette recette, je vais la tester ce week-end ! ",0,0,0,0
br,"Si tu continues comme ça, je te promets que tu vas le regretter !",1,0,1,0
bs,"Tu es tellement stupide, je n'arrive pas à croire que quelqu'un puisse être aussi idiot ! ",1,0,0,1
bt,TU ME SOULES JE SUIS PAS ABONER ETE JE TE VOIS SUR YOUTUBE ARRETE TU ME FAIS CHIER,1,0,0,1
bu,"Tes courts métrages sont toujours très inspiré, et l’on ressent tout de suite l’émotion qui en découle, tu es vraiment talentueux.",0,0,0,0
bv,"arrête de sortir des vidéos, tu gagnes serte plein d'argent, mais franchement c'est tout le temps la même chose, essaye de trouver des choses plus travaillées",1,0,0,0
bw,"CAME FAIT DE LA PEINE QUAND JE VOIS CE QUE TU FAIS, LA PASSION NEST CLAIREMENT PLUS LA.
 TETAIS MIEUX A LEPOQUE DE COD REMET TOI EN QUESTION SINON DANS 2 ANS TES FINI FDPPPPP",1,1,0,1
bx,"Squeezie t'est un fils de pute tu nique ta saloppe de soeur tout les soirs tu encule ton père PD va,
T'as unê putain de tête de con con salot tu obèse ta mère sale petite p****",1,1,0,1
by,Parler dans un mood sérieux entre vous trois ça va être tellement appréciable. C'est vraiment la face cachée de Youtube en vrai.,0,0,0,0
bz,"j'ai vraiment vu 3 ptits sucres parler de trucs touchants pendant quasi une heure et j'ai adoré 
J'aime que cette image que vous dégagez tous, cette vibe, cette bienveillance et tout ce package; représente ma/ notre generation
Juste merci d'être la et merci d'être vous",0,0,0,0
ca,"Elle est archi problématique, elle me sort par les yeux",1,0,0,0
cb,Pourquoi vous la sucez tous elle est détestable,1,1,0,1
cc,Tes cheveux on dirait un paillason ,1,0,0,0
cd,"Une super vidéo comme d'habitude. Tout le monde devrait apprendre à travailler dur, à être discipliné et patient pour réaliser de grandes choses dans la vie. 
 Que Dieu vous bénisse tous.",0,0,0,0
ce,"Un plaisir de réécouter cette chanson quand elle retombe dans la lecture aléatoire ! ^^ 
Elle ne prend tellement pas une ride ! La suite par pitié ! Mettez nous un volume 2 !",0,0,0,0
cf,Elle rentre  plutôt dans les McDo,1,0,0,1
cg,"Tout à fait d'accord avec vous, même si elle est très moche",1,0,0,1
ch,"Apparement c’était pas par rapport a son physique mais par rapport à son style vestimentaire, 
propos qui restes très grave car la tenue ne justifie en rien les violences sexuels que peut subir une personne. Bref des propos bien misogyne pour changer",0,0,0,0
ci,C'est comme si le mec avait peur qu'on oublie qu'il est une grosse merde.,1,0,0,1
cj,C’est quoi ces explications là ce fdp veut juste garder la technique pour lui,1,1,0,1
ck,Va te faire soigner,1,0,0,0
cl,C'est une guerre inutile les frères ce genre de spécimen ne mérite pas notre temps et investissement,1,0,0,1
cm,C'est pas notre faute si vous êtes pas drôle et que des qu'on vous mets dans une vidéo c'est naze hein,1,0,0,1
cn,Un vrai rayon de soleil ,0,0,0,0
co,"tu es trop gentille et adorable, merci beaucoup continue ce que tu fais,",0,0,0,0
cp,le gnome de merde qui maltraite les animaux dommage ils le mettent pas contre un coq dans l’octogone pour nous distraire,1,0,0,1
cq,Voilà un projet qui demande du recul et un temps de réflexion pour être décortiqué en profondeur.,0,0,0,0
cr,"Respect pour la run de cette année, peu de gens vous attendez aux Worlds et vous avez montré de belles choses",0,0,0,0
cs,"Le jeu a des graphismes de folie, des missions incroyable mais ça se plaint parce que Spiderman 
(censé voler partout et s’accrocher aux bâtiments) ne peut pas prendre la ligne 6 mdrrrr",0,0,0,0
ct,Vas y ta grand mère vous allez tous faire le même tweet ?,1,1,0,1
cu,"missions incroyable, mouais on peut se calmer, c'est vrai qu'il ya des boss secret cacher avec des combat de fou furieux 
mais je trouve qu'il ya trop peu de quêtes annexes par rapport au premier",0,0,0,0
cv,continue comme ça jadore ton contenu,0,0,0,0
cw,"le mec a gardé la ligne, En revanche la meuf est un bouchon de bière",1,0,0,1
cx,Ce concept marche beaucoup trop bien avec ces invités ! Bravo et merci pour tout,0,0,0,0
cy,Magnifique vidéo c’est un réel plaisir de les regarder continue comme et ne change rien t’es en or,0,0,0,0
cz,"Un casting béton, un montage au cordo et le retour des vidéos du dimanche",0,0,0,0
da,"tombée amoureuse du crew, votre bonne humeur est géniale ! merci bcp",0,0,0,0
db,Une vidéo de malade comme d'habitude ! je te suis depuis tes débuts et tu as vraiment évolué c'est ouf ! Les vidéos à 4 sont vraiment mes préférées. Pleins de bisous à vous tous ,0,0,0,0
dc,Super vidéo avec beaucoup d'humour comme d'habitude,0,0,0,0
dd,Continuez ce que vous faites ça refait mes journées chaque fin de semaine j’attends votre vidéo avec impatience,0,0,0,0
de,Nan mais la première histoire c'est le THÉ ULTIME c'est ça qu'on veut c'est ce pourquoi l'émission existe c'est imbattable c'est du miel,0,0,0,0
df,"J'ai déjà mis mon alarme pour la prochaine, c'était vraiment une émission de dingue! 
Avec ma femme on a passé plus de 3h a se marrer comme des baleines devant les histoires que vous lisiez et même lors de la coupure où normalement on se serait dit 
""bon bah on regarde autre chose"" on a sortie nos portables pour avoir la notif du retour en live tellement on était bien a siroter et rigoler.",0,0,0,0
dg,"C'était à mourir de rire, des surprises toutes les deux secondes dans les anecdotes, l'histoire de la bonne sœur était la meilleure pour moi, j'en ai chialé",0,0,0,0
dh,"Ça m’a fait tellement plaisir de les voir se taper des barres ensemble, tout est tellement sincère c’est génial",0,0,0,0
di,"J'ai tellement tellement adoré l'émission. Que ça soit durant le live ou sur youtube. Tout est pépite.
 Que ça soit le concept, votre manière de parler et réagir, le décor, le montage, les plans de caméra. 
Vraiment tout était génial, un grand et gros merci à toi et toute les personnes qui ont bossé dessus.
 C'était vraiment top et j'ai très hâte de voir le prochain épisode",0,0,0,0
dj,"Je ne commente littéralement  j a m a i s  mais là il le faut.
 Le concept est tout simplement GÉNIAL, c'est si chill, bonne ambiance, les anectodes sont folles et même au bout de 2h, on n'a pas envie que ça s'arrête. 
Vivement les prochains épisodes et invités,",0,0,0,0
dk,"c’est clairement incroyable, je suis si fière de toi cest incroyable hâte de voir la suite de cette émission qui est si croustillante",0,0,0,0
dl,"jtm t'es trop drole, trop belle, t'as tellement une bonne vibe, ça ce voit t'es une personne extraordinaire",0,0,0,0
dm,"Je ne suis pas souvent sur twitch, donc jsuis trop contente de pouvoir voir ton contenu sur ytb aussi ! j'ai adoré la vidéo, ça va de fou rire en fou rire, hâte de voir la prochaine !!",0,0,0,0
dn,Super concept et bête de duo. Ce serait super que tu puisses sortir le format en version podcast aussi !,0,0,0,0
do,"Bravo, c'était vraiment bien ! Les histoires sont intéressantes et vous êtes très complice. Hâte du prochain épisode :)",0,0,0,0
dp,j'adore !!! un contenu toujours aussi créatif merci tu regale,0,0,0,0
dq,"Je me suis marré du début jusqu'à la fin, merci pour ces moments !",0,0,0,0
dr,incroyable la vidéo ! elles sont génial les vidéo ou on voit l'équipe !,0,0,0,0
ds,elle donne de l'énergie aux videos c'est ouf je l'aime trop,0,0,0,0
dt,Les meilleures minutes de mon weekend,0,0,0,0
du,J'adore tes vidéos ! Je m'en suis inspiré et maintenant j'en fais ! J'espère être un jour comme toi ! En tout cas force a toi !,0,0,0,0
dv,"L'hôtesse de l'air était géniale, une vraie passionnée ça s'est vu de suite",0,0,0,0
dw,Meilleur épisode on voit que les deux pilotes sont super humains et cool,0,0,0,0
dx,Tu es l’homme le plus drôle d’internet actuellement,0,0,0,0
dy,"En vrai il a grave géré, même si il a aussi eu beaucoup de chance sur les défis, dommage pour les poumons.",0,0,0,0
dz,j'aime beaucoup le fait qu'inox ne se mette pas trop en avant dans sa propre vidéo c'est une belle preuve d'humilité,0,0,0,0
ea,"J'adore le fait de donner une histoire au village, j'adore l'ambiance !",0,0,0,0
eb,Une vrai MASTERCLASS !,0,0,0,0
ec,"c’est vraiment trop bien fait, j’espère qu’il y aura une suite ",0,0,0,0
ed,"Très très très très bon délire, le casting parfait, pleins de personnages différents, pleins de manches, du dynamisme, 
on s'ennuie pas et c'est tellement dense qu'on a plaisir à voir et revoir la vidéo",0,0,0,0
ef,"Tout de même fier de notre année lorsque l'on zoom en arrière, fier de ce que les joueurs ont pu montrer tout au long de cette aventure 
et plus globalement de nos efforts en tant que team",0,0,0,0
eg,"C'est tellement agréable une vidéo qui prends le temps d'expliquer, sans pause, sans pub, sans like et abonnes toi, sans sponso... ah la la mais c'est juste genial",0,0,0,0
eh,je reste quelques jours a Los ANGELES et ensuite je rentre en France pour faire l'Ascension j'ai trop hate!!!!,0,0,0,0
ei,Keria c'est trop serieux quel putain de joueur comment c'est possible d'etre aussi fort avec BARD,0,0,0,0
ej,"Tu es d'une sympathie, c'est juste wow ! Change jamais",0,0,0,0
ek,C'est tellement divertissant ! j'adore ,0,0,0,0
el,c'est tellement à chier même un enfant de 4 ans fait mieux,1,0,0,1
em,"Son rire est génial, y a rien d'effrayant elle mérite que des bonnes choses, elle est trop mims ! J'espère qu'elle trouvera les bonnes personnes. ",0,0,0,0
en,"J'ai pleuré de rire, j'aime trop",0,0,0,0
eo,Gros respect à celui qui a reversé ses gains à la fondation Enfants du Désert.,0,0,0,0
ep,J’aime la façon dont il ne peut jamais nous décevoir ! ,0,0,0,0
eq,MAGNIFIQUES recherches d'images qui nous font limite vivre l'histoire,0,0,0,0
er,"C'est dommage qu'il a perdu ces mains et bras a un si jeune age, mais le voir etre si positif et en faire une carrier est tres inspirant",0,0,0,0
es,C’est futile mais il pleut par la fenêtre du décor et je trouve ça mignon :),0,0,0,0
et,fun fact l'eau qu'on utilise pour cuire le chou peut aussi servir d'indicateurs de ph,0,0,0,0
eu,"Pour l'ananas je pense qu'il doit être bien mûre, le tien étais encore vert,",0,0,0,0
ev,"Mec tu devrais faire imitateur, y a des moments j'ai cru qu'il y avais eu du doublage,",0,0,0,0
ew,"Franchement j'applaudis pour l'audace, ce sont des vérités qu'il faut bien que quelqu'un sorte un jour et tu l'as fait avec talent, merci pour la rigolade",0,0,0,0
ex,La pour le coup c'est du génie !! ,0,0,0,0
ey,C'est la première fois que je rigole autant à cause du rire de quelqu'un d'autre,0,0,0,0
ez,La soirée était incroyable vraiment,0,0,0,0
fa,"Qu’est-ce qu’il me fait rire, j’en peux plus de lui",0,0,0,0
fb,Je n'ai jamais vu une personne autant matcher leurs personnalités et leur délire.,0,0,0,0
fc,Même après 5 fois c'est celui au quel je me suis plus marré,0,0,0,0
fd,MA BITE,1,1,0,0
fe, c’est tellement gênant,1,0,0,0
ff,"Ça me fait trop de la peine,ils ont vraiment reçu un tsunami d’haine qui continue encore aujourd’hui. Force à vous les gars ",0,0,0,0
fg,tu vaux mieux que ça ,1,0,0,0
fh,Ca sent le gros film de merde ,1,0,0,1
fi,rendort toi enculé,1,1,0,1
fj,"la plus scandaleuse mais pas la plus couteuse cest les lezards serieux, d ou des scientifiques de harvard ont besoin de tester ca?? 
en plus les pauvres lezards stp...du delire tout simplement !",0,0,0,0
fk,"Le coup du canard est hyper connu, et c'est un super outil pour faire parler",0,0,0,0
fl,Mon ancienne école avait dépensé 250 000$ sur une “œuvre d’art” qui consiste de pailles en métal,0,0,0,0
fm,Regarde combien ont coûté certains logos ,0,0,0,0
fn,"Le rythme de tes vidéos sont vraiment nice! On a pas l'impression que ses trop long et redondant à regarder. 
En plus, c'est super drôle et la manière de t'exprimer ainsi que ton parler est vraiment au top!",0,0,0,0
fo,"Je trippe raide a te voir tester plein de trucs culinaire, en plus d'être très drôle on découvre des trucs x)",0,0,0,0
fp,OMG ! Mais ton imagination n’a aucune limite ! Excellent,0,0,0,0
fq,"Haha! Toujours porter des gants quand on manipule des piments, ou alors ne pas oublier de bieeeen se laver les mains après coup. 
J'ai testé le habanero dans l'œil, c'était loin d'être un plaisir.",0,0,0,0
fr,"Prochaine étape faire une cuisson lente, une technique de cuisson culinaire en utilisant ce style de marinade dans des sachet sous vide",0,0,0,0
fs,"En t’en que resident du Québec, je suis très fière de notre culture et de nos personnages et de notre langue. Vive le Québec Libre",0,0,0,0
ft,oui on se situe vraiment encore entre le vieux français et le français moderne,0,0,0,0
fw,"elle est hyper empathique (même avec les insectes lol) et elle trouve toujours les bons mots pour rassurer,  gros big up à elle!",0,0,0,0
fx,"J'étais assez choqué de la vitesse des tonneaux, on se rend pas compte de la violence de ce genre d'accident j'en ai eu les frissons carrément ! ",0,0,0,0
fy,Franchement respect ! vous avez régaler de ouf ,0,0,0,0
fz,J'espère que dans 5 ans on va remettre ça et qu'on va faire des dingueries !,0,0,0,0
ga,toujours autant hilarante et iconique x),0,0,0,0
gb,Immense respect,0,0,0,0
gc,grosse pute vas en enfer,1,1,0,1
gd,mange tes morts,1,1,0,1
ge,je sais où t'habites fais gaffe à toi,1,0,1,0
gf,très beau divertissement,0,0,0,0
gg,Ça fait plaisir d'y avoir participé.,0,0,0,0
gh,C'était un truc  de fou cet évènement !,0,0,0,0
gi,"Franchement je veux pas faire l’enfant un peu chiant, mais minecraft est sorti si vite!
 C’est un jeu dingue avec de la créativité qui donne une nostalgie de ouf, un des jeux les plus vendus dans le monde,",0,0,0,0
gj,Il faudrait le faire avec des séries !,0,0,0,0
gk,je veux pas juger mais sortir comme ça c'est vraiment honteux ,1,0,0,0
gl,"Ce qui est fou, c'est que tous ces comédiens ils ont une prestance, un charisme de dingue, ça se voit qu'ils sont fait pour ça !",0,0,0,0
gm,Ils sont clairement dans le futur ! ,0,0,0,0
gn,Trop heureux de les revoir ça faisait longtemps,0,0,0,0
go,sale bâtard,1,1,0,1
gp,tu mérites pas de vivre !,1,0,1,0
gq,"c'est un pur délice, une vraie pépite",0,0,0,0
gr,Le plus gros banger,0,0,0,0
gs,tabarnak crisse calisse osti,1,0,0,1
gt,Génial !!! Rien à redire. Que de souvenirs en plus !,0,0,0,0
